year,annual_co2_tonnes,region
0,1900,1085027648.0,eu28
1,1901,1071463520.0,eu28
2,1902,1073603296.0,eu28
3,1903,1122601968.0,eu28
4,1904,1137847872.0,eu28
5,1905,1180698352.0,eu28
6,1906,1210274160.0,eu28
7,1907,1342764400.0,eu28
8,1908,1364015600.0,eu28
9,1909,1360926848.0,eu28
10,1910,1383240608.0,eu28
11,1911,1414032864.0,eu28
12,1912,1455644912.0,eu28
13,1913,1576472640.0,eu28
14,1914,1403733360.0,eu28
15,1915,1329823152.0,eu28
16,1916,1389040720.0,eu28
17,1917,1380254448.0,eu28
18,1918,1301027776.0,eu28
19,1919,1095755840.0,eu28
20,1920,1284272304.0,eu28
21,1921,1168412960.0,eu28
22,1922,1304618496.0,eu28
23,1923,1234097488.0,eu28
24,1924,1422412432.0,eu28
25,1925,1410383520.0,eu28
26,1926,1172032992.0,eu28
27,1927,1509392128.0,eu28
28,1928,1503203632.0,eu28
29,1929,1629754528.0,eu28
30,1930,1503932768.0,eu28
31,1931,1366232320.0,eu28
32,1932,1238516272.0,eu28
33,1933,1265692160.0,eu28
34,1934,1367206944.0,eu28
35,1935,1417337792.0,eu28
36,1936,1481150016.0,eu28
37,1937,1621664416.0,eu28
38,1938,1606674992.0,eu28
39,1939,1640530352.0,eu28
40,1940,1703210400.0,eu28
41,1941,1682838560.0,eu28
42,1942,1700605296.0,eu28
43,1943,1688539744.0,eu28
44,1944,1487074704.0,eu28
45,1945,852759360.0,eu28
46,1946,1212058528.0,eu28
47,1947,1369090240.0,eu28
48,1948,1481410160.0,eu28
49,1949,1600468176.0,eu28
50,1950,1678555344.0,eu28
51,1951,1868687632.0,eu28
52,1952,1902257200.0,eu28
53,1953,1937750368.0,eu28
54,1954,2037590704.0,eu28
55,1955,2185748208.0,eu28
56,1956,2295873392.0,eu28
57,1957,2343237920.0,eu28
58,1958,2300786816.0,eu28
59,1959,2474598758.0,eu28
60,1960,2645188374.0,eu28
61,1961,2739401229.0,eu28
62,1962,2898203859.0,eu28
63,1963,3096111111.0,eu28
64,1964,3211239374.0,eu28
65,1965,3269236018.0,eu28
